marker,method,library_combo,cor,cor_spearman,rmse,concordance,cor_anno,cor_spear_anno,n_markers
1vALL_top25,hspe,RiboZeroGold_Nuc,0.5754390561506822,0.5199248512681349,0.2111621363506287,0.5212121212121212,"cor:0.575
rmse:0.211","cor:0.520
rmse:0.211",145
HVG100,CIBERSORTx,RiboZeroGold_Nuc,0.5730306033415408,0.5836342761715897,0.1759492833434998,0.7347319347319348,"cor:0.573
rmse:0.176","cor:0.584
rmse:0.176",8113
HVG20,CIBERSORTx,RiboZeroGold_Nuc,0.5721638992281471,0.5390460285982674,0.16682316305747424,0.4641025641025641,"cor:0.572
rmse:0.167","cor:0.539
rmse:0.167",1623
HVG30,CIBERSORTx,RiboZeroGold_Nuc,0.5712938673994084,0.5788748564867968,0.1761722485490471,0.7151515151515151,"cor:0.571
rmse:0.176","cor:0.579
rmse:0.176",2434
HVG70,CIBERSORTx,RiboZeroGold_Nuc,0.5712912216155288,0.5821730508297673,0.16540392874881818,0.6475524475524476,"cor:0.571
rmse:0.165","cor:0.582
rmse:0.165",5679
HVG50,CIBERSORTx,RiboZeroGold_Cyto,0.5712488635538168,0.5793204238217027,0.15620815115637451,0.710997442455243,"cor:0.571
rmse:0.156","cor:0.579
rmse:0.156",4056
MeanRatio_over2,hspe,polyA_Total,0.5708041708345288,0.4698209718670077,0.22216867627276365,0.5089514066496164,"cor:0.571
rmse:0.222","cor:0.470
rmse:0.222",557
HVG100,CIBERSORTx,RiboZeroGold_Cyto,0.5700839725492718,0.5635001826817685,0.17006705204382028,0.7455242966751918,"cor:0.570
rmse:0.170","cor:0.564
rmse:0.170",8113
HVG70,CIBERSORTx,RiboZeroGold_Cyto,0.5693111087335077,0.575009134088418,0.1582024718772098,0.6112531969309463,"cor:0.569
rmse:0.158","cor:0.575
rmse:0.158",5679
MeanRatio_MAD3,hspe,RiboZeroGold_Nuc,0.5685731010497759,0.4575096545245799,0.21640340911357017,0.7174825174825175,"cor:0.569
rmse:0.216","cor:0.458
rmse:0.216",520
HVG90,CIBERSORTx,RiboZeroGold_Nuc,0.5685178907476548,0.5718192255505689,0.16453645100474426,0.706993006993007,"cor:0.569
rmse:0.165","cor:0.572
rmse:0.165",7302
HVG40,CIBERSORTx,polyA_Nuc,0.5677481478034557,0.42603164550191636,0.180974724173584,0.6259600614439325,"cor:0.568
rmse:0.181","cor:0.426
rmse:0.181",3245
HVG10,CIBERSORTx,polyA_Total,0.5671928186869067,0.38807161254010203,0.22292962221772353,0.5865302642796248,"cor:0.567
rmse:0.223","cor:0.388
rmse:0.223",811
HVG40,CIBERSORTx,RiboZeroGold_Cyto,0.5664217241227285,0.550018268176836,0.15210547000968977,0.6734867860187553,"cor:0.566
rmse:0.152","cor:0.550
rmse:0.152",3245
1vALL_top25,hspe,polyA_Total,0.565894715285832,0.411362805991962,0.21604023301280897,0.5592497868712702,"cor:0.566
rmse:0.216","cor:0.411
rmse:0.216",145
FULL,BayesPrism,RiboZeroGold_Total,0.5654275144894991,0.6380708805261236,0.12014900811422571,0.5856777493606138,"cor:0.565
rmse:0.120","cor:0.638
rmse:0.120",17804
HVG90,CIBERSORTx,RiboZeroGold_Cyto,0.5641876621722677,0.5379247351114359,0.16131036793656203,0.7442455242966752,"cor:0.564
rmse:0.161","cor:0.538
rmse:0.161",7302
MeanRatio_top25,CIBERSORTx,polyA_Nuc,0.5638832757599433,0.31672427035330264,0.19538695208807813,0.4915514592933948,"cor:0.564
rmse:0.195","cor:0.317
rmse:0.195",151
MeanRatio_MAD3,hspe,polyA_Total,0.5634088380750102,0.3998538545853124,0.21619934720918993,0.578005115089514,"cor:0.563
rmse:0.216","cor:0.400
rmse:0.216",520
FULL,CIBERSORTx,RiboZeroGold_Cyto,0.5630658631390363,0.5780781877968579,0.15421613953093904,0.5392156862745098,"cor:0.563
rmse:0.154","cor:0.578
rmse:0.154",17804
FULL,CIBERSORTx,RiboZeroGold_Nuc,0.5629911159104009,0.597703788748565,0.16794416872253246,0.5738927738927739,"cor:0.563
rmse:0.168","cor:0.598
rmse:0.168",17804
MeanRatio_over2,CIBERSORTx,polyA_Total,0.562466250480975,0.45484106686152725,0.20906681752412137,0.46334185848252346,"cor:0.562
rmse:0.209","cor:0.455
rmse:0.209",557
MeanRatio_MAD3,hspe,RiboZeroGold_Cyto,0.562202021932635,0.4081841432225064,0.20772966387472364,0.6508951406649617,"cor:0.562
rmse:0.208","cor:0.408
rmse:0.208",520
1vALL_top25,hspe,RiboZeroGold_Cyto,0.5621048282458803,0.4427109974424553,0.20214305900220406,0.4940323955669224,"cor:0.562
rmse:0.202","cor:0.443
rmse:0.202",145
HVG50,CIBERSORTx,RiboZeroGold_Nuc,0.5611882811191912,0.577246633963052,0.16405084401538503,0.7156177156177156,"cor:0.561
rmse:0.164","cor:0.577
rmse:0.164",4056
HVG10,Bisque,polyA_Nuc,0.5606631811366914,0.49942396313364057,0.13952593411149822,0.34434203789042495,"cor:0.561
rmse:0.140","cor:0.499
rmse:0.140",811
HVG30,CIBERSORTx,polyA_Total,0.560235024459303,0.37807142356885853,0.20405242445849506,0.6257459505541347,"cor:0.560
rmse:0.204","cor:0.378
rmse:0.204",2434
HVG20,CIBERSORTx,polyA_Total,0.5588147844271197,0.36889764384734697,0.20373436257331143,0.40494458653026427,"cor:0.559
rmse:0.204","cor:0.369
rmse:0.204",1623
HVG80,CIBERSORTx,polyA_Nuc,0.5585428242073338,0.32690082739528925,0.21294514521642272,0.6113671274961597,"cor:0.559
rmse:0.213","cor:0.327
rmse:0.213",6490
HVG50,CIBERSORTx,polyA_Nuc,0.5572609524288341,0.3656681439377159,0.1965020529836708,0.6049667178699437,"cor:0.557
rmse:0.197","cor:0.366
rmse:0.197",4056
HVG20,Bisque,polyA_Nuc,0.5572285537011256,0.44244431643625193,0.13945845474361254,0.4032258064516129,"cor:0.557
rmse:0.139","cor:0.442
rmse:0.139",1623
HVG60,CIBERSORTx,RiboZeroGold_Nuc,0.5569082554227951,0.5709842396409561,0.15892864262238288,0.7086247086247086,"cor:0.557
rmse:0.159","cor:0.571
rmse:0.159",4868
MeanRatio_MAD3,Bisque,polyA_Nuc,0.5560407783899834,0.4900388849196991,0.14693041596316758,0.5028161802355351,"cor:0.556
rmse:0.147","cor:0.490
rmse:0.147",520
HVG60,CIBERSORTx,RiboZeroGold_Cyto,0.5557590813908608,0.5569967117281696,0.15034826233861262,0.685848252344416,"cor:0.556
rmse:0.150","cor:0.557
rmse:0.150",4868
