"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"281","ENSG00000150782","hurdle",0,-2.467178,-0.4327477,2.0344303,0.672
"222","ENSG00000135838","hurdle",4.76781564714601e-205,-1.1835066,0.3804512,1.5639578,0.672
"119","ENSG00000107738","hurdle",0,-2.8481674,-0.5558369,2.2923305,0.672
"113","ENSG00000106799","hurdle",2.82389169195404e-204,-1.2532759,0.3029524,1.5562283,0.672
"374","ENSG00000171943","hurdle",3.51884873704222e-152,-0.176908,0.9449404,1.1218484,0.67
"149","ENSG00000116711","hurdle",9.17804852433329e-268,-1.5996677,0.1060331,1.7057008,0.67
"17","ENSG00000027697","hurdle",2.90523349734488e-201,-1.0697014,0.3225407,1.3922421,0.67
"312","ENSG00000162511","hurdle",0,-3.1379434,-0.7422317,2.3957117,0.669
"161","ENSG00000120690","hurdle",2.24660601542582e-188,-1.28388492,0.03832474,1.32220966,0.668
"333","ENSG00000166033","hurdle",1.35503432942891e-170,-0.9375766,0.3665396,1.3041162,0.666
"400","ENSG00000180353","hurdle",0,-3.0214442,-0.7482738,2.2731704,0.665
"42","ENSG00000074706","hurdle",5.0378209296738e-130,1.461784,2.342702,0.880918,0.664
"24","ENSG00000047648","hurdle",3.63334684881336e-212,-0.9959233,0.2956294,1.2915527,0.664
"63","ENSG00000091592","hurdle",3.86359335047855e-321,-2.4878341,-0.4659683,2.0218658,0.662
"306","ENSG00000160712","hurdle",6.77301048769917e-231,-2.0062107,-0.3580843,1.6481264,0.661
"204","ENSG00000132669","hurdle",4.87150385368359e-158,-0.09584837,0.73142207,0.82727044,0.661
"181","ENSG00000125089","hurdle",0,-3.2344126,-0.8022501,2.4321625,0.66
"171","ENSG00000123095","hurdle",2.19153581389362e-164,-0.9217932,0.3153168,1.23711,0.66
"394","ENSG00000176597","hurdle",2.58443888326057e-188,-1.4014688,0.1456724,1.5471412,0.659
"386","ENSG00000173926","hurdle",8.52970055643685e-195,-1.3178435,0.2711965,1.58904,0.659
"290","ENSG00000154330","hurdle",0,-2.6036114,-0.5218002,2.0818112,0.658
"168","ENSG00000122862","hurdle",0,-2.6824704,0.3138676,2.996338,0.658
"32","ENSG00000066294","hurdle",0,-3.2475935,-0.8747545,2.372839,0.658
"20","ENSG00000033867","hurdle",3.38130893288758e-120,0.3130436,1.2011636,0.88812,0.658
"310","ENSG00000162367","hurdle",0,-2.973137,-0.7711597,2.2019773,0.653
"274","ENSG00000147251","hurdle",1.10139603932435e-187,-1.07795166,-0.02995574,1.04799592,0.653
"267","ENSG00000145390","hurdle",6.09297651730752e-139,-0.2350998,0.9755081,1.2106079,0.653
"134","ENSG00000111846","hurdle",3.87950147485116e-309,-2.5502512,-0.4437364,2.1065148,0.653
"283","ENSG00000152315","hurdle",2.36158121660958e-312,-2.1511558,-0.3340312,1.8171246,0.652
"70","ENSG00000100055","hurdle",0,-3.0547173,-0.8518047,2.2029126,0.652
"338","ENSG00000167601","hurdle",1.51566339824006e-279,-2.5624747,-0.6773872,1.8850875,0.648
"259","ENSG00000140968","hurdle",0,-3.2331754,-0.7287289,2.5044465,0.648
"131","ENSG00000111252","hurdle",2.98657548346809e-146,-1.27125848,-0.00985581,1.26140267,0.647
"54","ENSG00000086062","hurdle",2.43758468313701e-231,-2.2139611,-0.4110181,1.802943,0.647
"6","ENSG00000011028","hurdle",1.44335126701433e-245,-2.3585039,-0.5879844,1.7705195,0.647
"469","ENSG00000235162","hurdle",6.26065433169543e-287,-2.5548809,-0.5825765,1.9723044,0.646
"304","ENSG00000160219","hurdle",0,-3.0756324,-0.8797202,2.1959122,0.644
"49","ENSG00000079277","hurdle",6.46697650220942e-102,-0.2116381,0.6109202,0.8225583,0.642
