"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"143","ENSG00000120549","hurdle",0,3.006297,4.026829,1.020532,0.713
"520","ENSG00000198597","hurdle",0,0.4666389,2.8636329,2.396994,0.712
"173","ENSG00000132164","hurdle",0,-1.1591562,0.8811518,2.040308,0.712
"78","ENSG00000101746","hurdle",0,1.999579,2.720519,0.72094,0.712
"432","ENSG00000176728","hurdle",0,1.485688,2.400783,0.915095,0.711
"192","ENSG00000135299","hurdle",0,-0.06539243,1.18777198,1.25316441,0.711
"72","ENSG00000101134","hurdle",0,0.09670133,1.50448658,1.40778525,0.711
"456","ENSG00000182263","hurdle",0,0.8223549,2.9866202,2.1642653,0.71
"463","ENSG00000183098","hurdle",0,2.696767,3.772863,1.076096,0.709
"323","ENSG00000157570","hurdle",0,-2.4987644,0.5197379,3.0185023,0.709
"575","ENSG00000257815","hurdle",0,1.194067,2.20973,1.015663,0.708
"387","ENSG00000169604","hurdle",0,0.2348372,1.5135554,1.2787182,0.708
"350","ENSG00000164418","hurdle",0,3.878402,4.712064,0.833662,0.708
"147","ENSG00000121440","hurdle",0,2.417612,3.328441,0.910829,0.708
"74","ENSG00000101349","hurdle",0,2.191007,2.764808,0.573801,0.708
"275","ENSG00000151025","hurdle",0,2.616051,3.341115,0.725064,0.707
"569","ENSG00000248049","hurdle",0,1.745062,2.560967,0.815905,0.706
"449","ENSG00000180998","hurdle",0,1.028223,1.90847,0.880247,0.706
"377","ENSG00000168959","hurdle",0,3.990205,4.496938,0.506733,0.706
"326","ENSG00000158560","hurdle",0,3.065571,3.569911,0.50434,0.706
"230","ENSG00000144218","hurdle",0,3.198333,3.713841,0.515508,0.706
"560","ENSG00000239268","hurdle",0,3.690154,4.286773,0.596619,0.705
"298","ENSG00000154162","hurdle",0,3.348501,4.286673,0.938172,0.705
"278","ENSG00000151490","hurdle",0,1.715716,2.558999,0.843283,0.705
"65","ENSG00000099715","hurdle",0,0.01158899,2.38567115,2.37408216,0.705
"586","ENSG00000280870","hurdle",0,-0.01859008,2.02499708,2.04358716,0.704
"47","ENSG00000079156","hurdle",0,2.355426,3.051989,0.696563,0.704
"544","ENSG00000227082","hurdle",0,-0.5281711,0.8920104,1.4201815,0.702
"477","ENSG00000185261","hurdle",0,1.711344,2.480308,0.768964,0.702
"364","ENSG00000166006","hurdle",0,2.666411,3.811434,1.145023,0.702
"358","ENSG00000165185","hurdle",0,0.7936836,2.4928915,1.6992079,0.702
"91","ENSG00000106278","hurdle",0,1.05957,2.169989,1.110419,0.702
"39","ENSG00000073910","hurdle",0,2.518988,3.19883,0.679842,0.702
"473","ENSG00000184903","hurdle",0,2.682011,3.420243,0.738232,0.701
"229","ENSG00000143924","hurdle",0,0.2883501,1.6073703,1.3190202,0.7
"359","ENSG00000165246","hurdle",0,1.282991,2.097457,0.814466,0.699
"234","ENSG00000144339","hurdle",0,2.86648,3.628709,0.762229,0.699
"374","ENSG00000168843","hurdle",0,1.564396,2.82668,1.262284,0.698
"407","ENSG00000171714","hurdle",0,1.450933,2.823443,1.37251,0.697
"443","ENSG00000179104","hurdle",0,2.261325,3.861261,1.599936,0.696
"153","ENSG00000124140","hurdle",0,0.9011908,1.8235107,0.9223199,0.696
"45","ENSG00000078053","hurdle",0,2.024602,2.586867,0.562265,0.696
