"gene","cellType.target","mean.target","cellType","mean","ratio","rank_ratio","Symbol","anno_ratio","logFC","log.p.value","log.FDR","std.logFC","rank_marker","anno_logFC","in_bulk"
"ENSG00000139155","Astro",1.35569611270291,"EndoMural",0.266874896225639,5.07989373251761,17,"SLCO1C1","Astro/EndoMural: 5.08",1.54093402820729,-4656.77921874791,-4649.85490684495,1.66259302231326,36," std logFC = 1.663",TRUE
"ENSG00000106571","Astro",1.97414930140701,"EndoMural",0.407848691968548,4.84039630451788,18,"GLI3","Astro/EndoMural: 4.84",2.54660937149654,-7217.4469392775,-7208.88501858513,2.1194146531937,7," std logFC = 2.119",TRUE
"ENSG00000140022","Astro",1.82067080800419,"Micro",0.388174650658534,4.69033927103545,19,"STON2","Astro/Micro: 4.69",2.05280102537171,-7010.85212577564,-7002.54151951155,2.0848591799692,9," std logFC = 2.085",TRUE
"ENSG00000164188","Astro",1.65064489991826,"EndoMural",0.359077463419906,4.59690475753416,20,"RANBP3L","Astro/EndoMural: 4.597",1.94745236116994,-4636.06765233546,-4629.17073940668,1.658574963034,37," std logFC = 1.659",TRUE
"ENSG00000072952","Astro",1.56392945604069,"EndoMural",0.341884371203577,4.57443974562218,21,"MRVI1","Astro/EndoMural: 4.574",1.46219592930925,-6267.52095742413,-6259.78571530495,1.95771012237749,16," std logFC = 1.958",TRUE
"ENSG00000184313","Astro",1.86479646910694,"OPC",0.424758686200626,4.39024916897437,22,"MROH7","Astro/OPC: 4.39",1.41071327347506,-1584.55427386345,-1579.13403935726,0.942404223256225,162," std logFC = 0.942",FALSE
"ENSG00000080493","Astro",2.93927680889134,"Excit",0.67060889720472,4.38299703619061,23,"SLC4A4","Astro/Excit: 4.383",4.57715846859286,-2236.70654907164,-2230.94365035859,1.12669526074355,115," std logFC = 1.127",TRUE
"ENSG00000111783","Astro",2.48716705089915,"OPC",0.601304940690768,4.13628241278368,24,"RFX4","Astro/OPC: 4.136",3.6126337704045,-3936.56399367304,-3930.18329721667,1.51851295167757,62," std logFC = 1.519",TRUE
"ENSG00000143603","Astro",1.76041404674994,"Excit",0.429281752523749,4.10083595773745,25,"KCNN3","Astro/Excit: 4.101",1.24945111441592,-1049.74407769767,-1044.6958323704,0.762866427938989,235," std logFC = 0.763",TRUE
"ENSG00000249669","EndoMural",1.64356540613804,"Oligo",0.026356321704621,62.3594378820273,1,"CARMN","EndoMural/Oligo: 62.359",1.89559474621496,-8730.19454469432,-8721.29615176533,3.15273298721226,5," std logFC = 3.153",TRUE
"ENSG00000123243","EndoMural",3.03460049407529,"Micro",0.0843586809041358,35.9725929987428,2,"ITIH5","EndoMural/Micro: 35.973",5.08426428941789,-12932.0536906093,-12921.5458597679,3.99255022835956,1," std logFC = 3.993",TRUE
"ENSG00000074181","EndoMural",1.57324835679111,"Astro",0.0527030719688636,29.8511699227051,3,"NOTCH3","EndoMural/Astro: 29.851",1.70259517206317,-8155.59399772127,-8147.03207702891,3.03090968962385,7," std logFC = 3.031",TRUE
"ENSG00000184113","EndoMural",1.74469883645532,"Oligo",0.0598423086234424,29.1549386477356,4,"CLDN5","EndoMural/Oligo: 29.155",2.13921377012928,-7560.3797733688,-7552.51099985699,2.90208320191906,14," std logFC = 2.902",TRUE
"ENSG00000206190","EndoMural",2.90391911973215,"Excit",0.112257007744995,25.8684885519909,5,"ATP10A","EndoMural/Excit: 25.868",8.63664258005533,-7393.13058260286,-7385.39534048368,2.86534553385157,16," std logFC = 2.865",TRUE
"ENSG00000085276","EndoMural",2.25047620285512,"OPC",0.101649543285234,22.139560396648,6,"MECOM","EndoMural/OPC: 22.14",4.98462742108372,-6898.67272732777,-6891.25593893971,2.7551933950785,22," std logFC = 2.755",TRUE
"ENSG00000164330","EndoMural",3.36685849404924,"Inhib",0.153839013821451,21.8855959253411,7,"EBF1","EndoMural/Inhib: 21.886",6.93207064454525,-4460.07786871326,-4453.83271774888,2.16599228141933,71," std logFC = 2.166",TRUE
"ENSG00000243620","EndoMural",2.16355825040762,"Astro",0.115484753658124,18.734579084028,8,"AC092957.1","EndoMural/Astro: 18.735",3.13607798740475,-7585.97133964432,-7578.02845816036,2.90768273309122,13," std logFC = 2.908",FALSE
"ENSG00000213949","EndoMural",1.75966011880615,"Inhib",0.0943712112150367,18.6461538021012,9,"ITGA1","EndoMural/Inhib: 18.646",1.83838365936834,-5288.9504294484,-5282.20379872268,2.37678157066944,43," std logFC = 2.377",TRUE
"ENSG00000110799","EndoMural",1.8373872273514,"Oligo",0.0992948858977332,18.5043490481855,10,"VWF","EndoMural/Oligo: 18.504",2.76133388701417,-6430.11201550182,-6422.78223849074,2.6484583365584,24," std logFC = 2.648",TRUE
"ENSG00000118777","EndoMural",2.22375394867251,"Micro",0.141696961383134,15.6937306697757,11,"ABCG2","EndoMural/Micro: 15.694",3.98697015842208,-7720.25785695058,-7712.23493275895,2.93697263233056,12," std logFC = 2.937",TRUE
"ENSG00000102755","EndoMural",3.25007922448838,"Micro",0.242557258714319,13.3992247509537,12,"FLT1","EndoMural/Micro: 13.399",14.9475292975567,-4794.11126077463,-4787.68096737711,2.25256250771806,59," std logFC = 2.253",TRUE
"ENSG00000115414","EndoMural",1.98851076694507,"OPC",0.191343833547067,10.392343092969,13,"FN1","EndoMural/OPC: 10.392",2.08272568796146,-5263.93274427422,-5257.20910306672,2.37060642016079,44," std logFC = 2.371",TRUE
"ENSG00000117394","EndoMural",1.49152916772748,"Astro",0.145766225893588,10.2323371452062,14,"SLC2A1","EndoMural/Astro: 10.232",1.63791700485929,-4966.61458151119,-4960.0187736752,2.29637965933761,50," std logFC = 2.296",TRUE
"ENSG00000069122","EndoMural",1.7981630105145,"Excit",0.184264965527785,9.75857241968962,15,"ADGRF5","EndoMural/Excit: 9.759",1.9494585961752,-3396.38747224308,-3390.61583985005,1.87168404327648,114," std logFC = 1.872",TRUE
"ENSG00000173638","EndoMural",1.87328700253515,"Micro",0.19334287173953,9.68893751127702,16,"SLC19A1","EndoMural/Micro: 9.689",2.46296012931896,-7206.58061166984,-7198.96315258632,2.82406601347771,18," std logFC = 2.824",TRUE
"ENSG00000082438","EndoMural",3.53500171142983,"Excit",0.380176726901507,9.29831170950569,17,"COBLL1","EndoMural/Excit: 9.298",7.0277592214835,-4116.47581869136,-4110.43389596859,2.07430681348715,87," std logFC = 2.074",TRUE
"ENSG00000128567","EndoMural",1.52770879210785,"Excit",0.167023178559554,9.14668733575278,18,"PODXL","EndoMural/Excit: 9.147",1.64127884284693,-3582.69334771111,-3576.85834570415,1.9256455912091,107," std logFC = 1.926",TRUE
"ENSG00000143248","EndoMural",2.58625701800031,"Inhib",0.297936387128762,8.68056783169145,19,"RGS5","EndoMural/Inhib: 8.681",3.92238606332854,-3938.2276906422,-3932.2307193073,2.02556799044749,91," std logFC = 2.026",TRUE
"ENSG00000142089","EndoMural",1.55248512899498,"Astro",0.189157383619567,8.20737260839543,20,"IFITM3","EndoMural/Astro: 8.207",1.51436518025975,-6975.2178899594,-6967.70579139153,2.7724041863513,20," std logFC = 2.772",TRUE
"ENSG00000011465","EndoMural",1.51805599842459,"Inhib",0.186613430412359,8.13476283604106,21,"DCN","EndoMural/Inhib: 8.135",1.43765027727834,-4709.10541669281,-4702.72472023644,2.2307541319052,62," std logFC = 2.231",TRUE
"ENSG00000054654","EndoMural",2.56724196059841,"OPC",0.340954408190078,7.52957550608116,22,"SYNE2","EndoMural/OPC: 7.53",3.13073307208704,-7536.1766866958,-7528.37690605549,2.89678220071691,15," std logFC = 2.897",TRUE
"ENSG00000103257","EndoMural",2.23138711419467,"Excit",0.336601946717719,6.6291568897727,23,"SLC7A5","EndoMural/Excit: 6.629",3.61144773474827,-4304.94355355874,-4298.77952813917,2.12494865497526,77," std logFC = 2.125",TRUE
"ENSG00000085563","EndoMural",2.80945778447685,"Excit",0.442101424738212,6.35478111417637,24,"ABCB1","EndoMural/Excit: 6.355",7.28876998634555,-4208.16965651594,-4202.06854492178,2.09905554784257,82," std logFC = 2.099",TRUE
"ENSG00000176641","EndoMural",1.69154102244635,"Inhib",0.282512270695467,5.98749575826297,25,"RNF152","EndoMural/Inhib: 5.987",1.9894544559534,-1911.27572032535,-1906.11499701465,1.38468344054961,210," std logFC = 1.385",TRUE
"ENSG00000273409","Micro",1.86039737311879,"Oligo",0.0213325092710494,87.2094955863236,1,"LINC02712","Micro/Oligo: 87.209",1.55257244477819,-8142.5362153858,-8135.02411681793,3.49088572923722,20," std logFC = 3.491",TRUE
"ENSG00000140678","Micro",1.77341240617937,"EndoMural",0.0203732783024102,87.0460011322565,2,"ITGAX","Micro/EndoMural: 87.046",1.17846672444648,-9680.4256047575,-9672.40268056587,3.8614751250913,12," std logFC = 3.861",TRUE
"ENSG00000095585","Micro",2.00288246091977,"Oligo",0.0267854350057627,74.7750581795241,3,"BLNK","Micro/Oligo: 74.775",1.53504616528341,-9958.05054832614,-9949.94061275751,3.92668881199133,11," std logFC = 3.927",FALSE
"ENSG00000231131","Micro",2.09448308546239,"Oligo",0.0317817107400536,65.9021505353635,4,"LNCAROD","Micro/Oligo: 65.902",2.02157117150393,-8592.44207179298,-8584.82461270945,3.60112198835783,18," std logFC = 3.601",FALSE
"ENSG00000198223","Micro",2.48944832819058,"EndoMural",0.0398736365372646,62.4334408491694,5,"CSF2RA","Micro/EndoMural: 62.433",1.89305910920412,-13079.086322898,-13070.187929969,4.63531063432333,5," std logFC = 4.635",FALSE
"ENSG00000168329","Micro",2.12836277116713,"Oligo",0.0438074089886284,48.5845390152979,6,"CX3CR1","Micro/Oligo: 48.585",1.82164249828562,-10781.2900439444,-10772.8616546447,4.11760365332004,8," std logFC = 4.118",TRUE
"ENSG00000148908","Micro",1.63429129568826,"EndoMural",0.0348816308796291,46.8524909666046,7,"RGS10","Micro/EndoMural: 46.852",1.02428798109148,-9261.78830253233,-9254.05306041315,3.76224813113104,16," std logFC = 3.762",TRUE
"ENSG00000125730","Micro",2.5220660399079,"Oligo",0.0721972830882028,34.932977143014,8,"C3","Micro/Oligo: 34.933",1.96285636396394,-13366.8240218036,-13357.7024853233,4.69893483652941,4," std logFC = 4.699",TRUE
"ENSG00000280560","Micro",2.66560159653215,"Inhib",0.0885278098749639,30.1103303052118,9,"LINC01374","Micro/Inhib: 30.11",2.66315246291058,-6427.036115615,-6419.96227197806,3.05239226056348,31," std logFC = 3.052",FALSE
"ENSG00000059377","Micro",2.96886478452603,"Astro",0.101149370545528,29.3512927318686,10,"TBXAS1","Micro/Astro: 29.351",2.7913142270062,-14644.6178748897,-14635.208656337,4.97912969561005,3," std logFC = 4.979",TRUE
"ENSG00000163694","Micro",2.02565790925279,"EndoMural",0.0718551572475559,28.1908492980396,11,"RBM47","Micro/EndoMural: 28.191",1.56615942488813,-7946.6111384442,-7939.1478300405,3.44233985522393,21," std logFC = 3.442",FALSE
"ENSG00000077420","Micro",3.82802585008737,"EndoMural",0.137913481752274,27.7567196582233,12,"APBB1IP","Micro/EndoMural: 27.757",5.38185706439612,-15260.503453001,-15250.6887693402,5.11305034232674,2," std logFC = 5.113",TRUE
"ENSG00000155307","Micro",1.84296831165398,"EndoMural",0.0666461386284294,27.6530396146285,13,"SAMSN1","Micro/EndoMural: 27.653",1.41415468963992,-6801.19772780228,-6793.94799349888,3.15088802377231,26," std logFC = 3.151",TRUE
"ENSG00000042980","Micro",3.00580950099068,"Inhib",0.11164586579839,26.922712090554,14,"ADAM28","Micro/Inhib: 26.923",2.68620165928943,-10752.005059036,-10743.6944527719,4.11087044663556,9," std logFC = 4.111",TRUE
"ENSG00000236963","Micro",1.5666474606681,"Excit",0.0640341099100191,24.465827086057,15,"LINC01141","Micro/Excit: 24.466",0.955556279090376,-3133.60214952281,-3127.54866597764,2.06753592277949,86," std logFC = 2.068",TRUE
"ENSG00000165025","Micro",2.05328827515848,"Inhib",0.0974450131407335,21.0712504311847,16,"SYK","Micro/Inhib: 21.071",1.46998817976664,-9356.50355028946,-9348.70376964914,3.78479598922285,15," std logFC = 3.785",TRUE
"ENSG00000112799","Micro",1.73357907444926,"Excit",0.0938478283958345,18.4722342976048,17,"LY86","Micro/Excit: 18.472",1.10397474962099,-3459.21151256015,-3453.03441505902,2.17885407081041,76," std logFC = 2.179",TRUE
"ENSG00000082074","Micro",2.55103280179309,"EndoMural",0.148198339293688,17.2136395991432,18,"FYB1","Micro/EndoMural: 17.214",2.21847758407629,-12129.283178473,-12120.7212577806,4.42359272919323,7," std logFC = 4.424",TRUE
"ENSG00000107099","Micro",3.8973252601929,"EndoMural",0.236319055899307,16.4917943047873,19,"DOCK8","Micro/EndoMural: 16.492",5.00221224211057,-16223.8950505837,-16213.3872197423,5.32141831897973,1," std logFC = 5.321",TRUE
"ENSG00000155629","Micro",1.48847442662995,"EndoMural",0.0920267516844319,16.174366685614,20,"PIK3AP1","Micro/EndoMural: 16.174",0.948554458216897,-6578.25541105843,-6571.114876047,3.09241986576267,29," std logFC = 3.092",TRUE
"ENSG00000249738","Micro",3.19907431267315,"Excit",0.198244476274515,16.1370161367991,21,"AC008691.1","Micro/Excit: 16.137",4.02385532403331,-4378.53766626596,-4372.09027843509,2.47222108990101,58," std logFC = 2.472",FALSE
"ENSG00000185811","Micro",2.0628375572078,"EndoMural",0.134967019424127,15.2840120942838,22,"IKZF1","Micro/EndoMural: 15.284",1.5332588596807,-9129.98564800235,-9122.31103050498,3.73077163274006,17," std logFC = 3.731",FALSE
"ENSG00000134516","Micro",2.7969159923238,"Oligo",0.185106446957355,15.1097708280693,23,"DOCK2","Micro/Oligo: 15.11",2.17436933993409,-3483.21629487664,-3477.02595214875,2.18688599977349,75," std logFC = 2.187",TRUE
"ENSG00000141506","Micro",1.69847112765839,"EndoMural",0.11289916501609,15.0441425090817,24,"PIK3R5","Micro/EndoMural: 15.044",1.19201196896455,-9556.93839874795,-9549.06962523614,3.83232044686294,14," std logFC = 3.832",FALSE
"ENSG00000169313","Micro",2.47255312885088,"Excit",0.166444028784115,14.8551627049227,25,"P2RY12","Micro/Excit: 14.855",2.2088289324767,-4523.28410725223,-4516.72752012939,2.51610683963846,52," std logFC = 2.516",TRUE
