SAMPLE_ID,Sample,Dataset,BrNum,pos,library_prep,method,input,marker,cell_type,prop,RNAscope_prop,snRNA_prop,library_type,rna_extract,library_combo
2107UNHS-0291_Br2720_Mid_Cyto,Br2720_mid,2107UNHS-0291,Br2720,Mid,Cyto,hspe,Tran,MeanRatio_top25,OligoOPC,0.14871770317771046,NA,0.24588002636783124,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Mathys,MeanRatio_top25,Astro,0.038042316124895226,NA,0.049439683586025046,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Mathys,MeanRatio_top25,EndoMural,0.005784081149189851,NA,0.012195121951219513,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Mathys,MeanRatio_top25,Excit,0.5896223470171974,NA,0.11634805537244562,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Mathys,MeanRatio_top25,Inhib,0.07009935150792354,NA,0.571193144363876,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Mathys,MeanRatio_top25,Micro,0.024942156755391562,NA,0.004943968358602505,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Mathys,MeanRatio_top25,OligoOPC,0.2715097474454029,NA,0.24588002636783124,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Tran,MeanRatio_top25,Astro,0.07252878746829139,NA,0.049439683586025046,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Tran,MeanRatio_top25,EndoMural,0.012278179507714163,NA,0.012195121951219513,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Tran,MeanRatio_top25,Excit,0.21205599461659155,NA,0.11634805537244562,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Tran,MeanRatio_top25,Inhib,0.1589547879465839,NA,0.571193144363876,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Tran,MeanRatio_top25,Micro,0.045005459912410894,NA,0.004943968358602505,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,Bisque,Tran,MeanRatio_top25,OligoOPC,0.4991767905484083,NA,0.24588002636783124,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Mathys,MeanRatio_top25,Astro,0.05508556236224647,NA,0.049439683586025046,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Mathys,MeanRatio_top25,EndoMural,4.664018457405817e-13,NA,0.012195121951219513,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Mathys,MeanRatio_top25,Excit,0.7768630102328526,NA,0.11634805537244562,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Mathys,MeanRatio_top25,Inhib,0.019483327312854334,NA,0.571193144363876,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Mathys,MeanRatio_top25,Micro,0.017867552396638793,NA,0.004943968358602505,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Mathys,MeanRatio_top25,OligoOPC,0.13070054769494133,NA,0.24588002636783124,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Tran,MeanRatio_top25,Astro,0.023546823535808212,NA,0.049439683586025046,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Tran,MeanRatio_top25,EndoMural,0.13816081744691788,NA,0.012195121951219513,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Tran,MeanRatio_top25,Excit,0.4413435514357536,NA,0.11634805537244562,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Tran,MeanRatio_top25,Inhib,0.2434307227060434,NA,0.571193144363876,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Tran,MeanRatio_top25,Micro,0.021420537159636287,NA,0.004943968358602505,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br2720_Mid_Nuc,Br2720_mid,2107UNHS-0291,Br2720,Mid,Nuc,hspe,Tran,MeanRatio_top25,OligoOPC,0.13209754771584056,NA,0.24588002636783124,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Mathys,MeanRatio_top25,Astro,0.03766923079249823,NA,0.04644808743169399,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Mathys,MeanRatio_top25,EndoMural,0,NA,0.012636612021857924,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Mathys,MeanRatio_top25,Excit,0.5867925324465644,NA,0.06181693989071038,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Mathys,MeanRatio_top25,Inhib,0.06635539515715498,NA,0.6168032786885246,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Mathys,MeanRatio_top25,Micro,0.020477127686079052,NA,0.012636612021857924,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Mathys,MeanRatio_top25,OligoOPC,0.2887057139177035,NA,0.2496584699453552,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Tran,MeanRatio_top25,Astro,0.07878336702418343,NA,0.04644808743169399,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Tran,MeanRatio_top25,EndoMural,0.014110954589490507,NA,0.012636612021857924,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Tran,MeanRatio_top25,Excit,0.20639136914675216,NA,0.06181693989071038,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Tran,MeanRatio_top25,Inhib,0.13728295083009276,NA,0.6168032786885246,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Tran,MeanRatio_top25,Micro,0.04253930604712017,NA,0.012636612021857924,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,Bisque,Tran,MeanRatio_top25,OligoOPC,0.5208920523623612,NA,0.2496584699453552,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Mathys,MeanRatio_top25,Astro,0.0814638773697193,NA,0.04644808743169399,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Mathys,MeanRatio_top25,EndoMural,3.1428250616165175e-13,NA,0.012636612021857924,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Mathys,MeanRatio_top25,Excit,0.7214870092909423,NA,0.06181693989071038,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Mathys,MeanRatio_top25,Inhib,0.014966231058407449,NA,0.6168032786885246,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Mathys,MeanRatio_top25,Micro,0.016897449684513954,NA,0.012636612021857924,polyA,Total,polyA_Total
